bin,shortcode,created_at,text
2018-00,Bkh4WielMcd,1530108035,이상태 그대로?ㅎㅎㅎ
2018-00,Bke6SGZl3lP,1530008456,화이팅!!
2018-00,Bj54C-hlDaz,1528766275,빙그레는 정말 좋은 말인듯 ㅎㅎ
2018-00,BkCsZXGF3cH,1529061767,날씬한것이......부럽....ㅠ_ㅠ
2018-00,BjEihm5Fnqz,1526988864,저 미용실 안 간지 삼년넘은듯...😭 머리가 넘 빠져서 파마도 안해요 요즘은 ㅋㅋㅋ 나는 자연인이다~~~
2018-00,Bjmc6iCFKj8,1528112404,육회인가요?!
2018-00,Bi7CZhwFPCD,1526657946,부럽네요 😊😊
2018-00,BjMV2X2FwIi,1527237351,하연이는 정말 사랑스러운 아이에요~😊😊
2018-00,BjMV2X2FwIi,1527239921,샌스만점이에요^^
2018-00,BigwKKGlHaz,1525773341,으....좋다~ 엄마취향저격!
2018-00,BijyXkOFVbd,1525876970,😭😭😭😭 너무 감사드려요~ 걍 있는 재료로 맹그시면 되는데 하나하나 신경써서 맹글어주셔서 이 감사함을 어떻게 표현해야할지... 몽실이한복도 너무 잘입히고 있는데... 저 화니샵님 열혈팬 할래요~😍😍😍😍 앨리스한테 입혀서 널리널리 홍보하겠숩니다~ 다시한번 감사드리옵니다~ 예쁜꿈 꾸세요~😪😪😪😪
2018-00,Bin7vhNlHJl,1526031686,까눌레 아닐까요?
2018-00,Bif7PdSFK4M,1525748163,청바지가 잘어울리는 여~~자!🤗
2018-00,BiT5cZ4le5c,1525343029,사진잘봤어용~~✌
2018-00,BiT5cZ4le5c,1525343125,꽃보다 아름다운 갈비살 ㅎㅎ
2018-00,BiQtAC3lOQT,1525235704,가셨군요~!!!!이거 판매하고 있나요?저 데려와야하는뎅.....ㅠ_ㅠ
2018-00,BiQtAC3lOQT,1525236377,@iwantafriend 자세히보니 세일가격이!!ㅋㅋㅋ내일도 남아있으면 좋겠네요~~ㅠ_ㅠ
2018-00,BiGTTn6FAP5,1524885598,우오~!!!육회가 듬쁙~~!!!!!!
2018-00,Bh08WdWFmiU,1524302700,부러와영~~~!!! 지방인이라 동네어서 벚어나질 못하네유ㅜㅜ😭😭
2018-00,Bh1YeExl8tm,1524317373,👍멋져요~~~~~~
2018-00,Bh1YeExl8tm,1524321192,분위기 너무 있네요~~!!아이들이 좋아하겠어요^^
2018-00,Bh1YeExl8tm,1524318794,@iwantafriend 네 너무 이쁘게 완성하셨어요~~
2018-00,Bhp0wMlFl9R,1524352401,안녕하세요~ 달로카 입니다~ 티켓 당첨 되신것 축하드려요~😘 오늘 밤 12시까지 dm으로 주소와 성함 보내주세요~ 아트토이컬쳐 티켓 보내드릴게요~💖 아트토이컬쳐에서 만나요 💕
2018-00,BhsrYKvFywF,1524030659,바람에 많이 날렸나봐요~!ㅋㅋㅋ
2018-00,BhsrYKvFywF,1524034973,마담A가 많이 자유분방해짐 ㅋ
