bin,shortcode,created_at,text
2017-01,BdXNhfOFbvY,1514727779,아 하연이도 큰게 얼굴에 보인다. 햇살이랑 만나면 얼마나 반가워할지!!
2017-01,BdRGZf5l1kA,1514514376,한창 사진 시작했을때 네 모습이랑 닮았네 ^^
2017-01,BdRGm6-lX00,1514634786,외국며느리..... ㅋ
2017-01,BdURAxxlc4C,1514618660,스케이트 퀄리티 좋네요👍🏻
2017-01,BdURAxxlc4C,1514634703,피아노줄 도전!
2017-01,BdW8z4jlh8Q,1514711891,타르트 넘 죠하 😛
2017-01,BdUx4P6Fd45,1514634665,컨셉좋고 분위기 좋고 모자!!♥♥♥ 조음♥♥♥
2017-01,BdUx4P6Fd45,1514634665,패딩턴도 입었지 더플코트. 요새 가족모두 패딩턴에게 폭 빠져있음 ㅎㅎ
2017-01,BdUx4P6Fd45,1514635281,@iwantafriend 하지만 영화에선 패딩턴응 패루출신이라는거 ㅋ
2017-01,BdXMNrqFjQ3,1514716855,드디어 5d 지르셨나요?😆👍🏻
2017-01,BdXMNrqFjQ3,1514719351,분위기있어보인다
2017-01,BdXMNrqFjQ3,1514735522,"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 사진 느낌,,캡짱~!!!! 하연이 이제,,마이 컷다,,^^새해 복 많이 받구~~~"
2017-01,BdXMNrqFjQ3,1514774659,@iwantafriend 부스신청 했구만?잘했어~ㅋ 육일전때보아~ㅎ💓💓💓
2017-01,BdUPIveliG1,1514634756,만족스런 .... 하지만 체력과 가족에너지가 필요한 하루엿군....
2017-01,Bc1v4Y5FaEe,1513603727,늦었지만 생일축하해~🎉
2017-01,Bc1v4Y5FaEe,1513606476,생일 축하해요
2017-01,Bc1v4Y5FaEe,1513611375,@iwantafriend ㅋㅋㅋ 저희도 좋아해요 ~~~놀러오세요
2017-01,BdFYQQ5FymW,1514124040,메리크리스마스!✨
2017-01,BdFYQQ5FymW,1514126169,응. 메리크리스마스 ~
2017-01,BdFYQQ5FymW,1514131152,크리스마스잘보내 우리는 음식하느라 하루종일 바뻤으^^
2017-01,BdFYQQ5FymW,1514160795,메리크리스마스!
2017-01,Bc_YqRyFg7x,1513925225,떡볶이코트 너무 이뿌당!
2017-01,BcwwXzJFYG8,1513425392,떡볶이가 막 우동길이여 ㅎㅎ
2017-01,BcmH5_EF_EB,1513069680,빵도 맛있어^^
2017-01,BcmH5_EF_EB,1513071402,@iwantafriend 나중에 나랑가서 먹어도 되 ㅎㅎ
2017-01,BcMAvj7lti_,1512215146,이거... 조금 시간 지나니까 토끼가 벗겨지드라
2017-01,BcMAvj7lti_,1512301775,오오 서울갈때 따라가서 구경해야긋네 ㅋ
2017-01,BcJ1vsuFLck,1512126067,결국 해치우셨군 런치코스가 있다면 좋것다 크하~~
2017-01,BcC0MhLF4X_,1512035159,외웠으니 이제 상용화? ㅎㅎㅎ
2017-01,BcHNkmQFbjK,1512035133,감사감사감사~♥
2017-01,BcZX3DFlbGs,1512640366,진짜다 너무 잘어울린다 또 살수있게 떳다 사야긋다 으핫핫핫^^ 좋으다니 즐겁네^^
2017-01,Bby_R6Xlqpf,1511352620,먹고싶다 아구찜 ㅜ
2017-01,Bby_R6Xlqpf,1511396884,그립다 저 맛...
2017-01,Bb9Ake2F9nK,1511688717,와.. 여기 기억도 안난다 ㅎㅎㅎ 아직 있구나
2017-01,BbfsIFLl53v,1510704952,콜!
2017-01,BbfsIFLl53v,1510796954,이거 너무 귀엽다. 여기서 버럭하고 짜증내는애 난 그 캐릭터가 공감이 많이 갔어ㅎㅎ
2017-01,BbBr2Q5ldiW,1509697792,와우 닭이 뼈째 들어간 칼국수 *.*
2017-01,BbBr2Q5ldiW,1509699312,맛있어보여요~~~~~
2017-01,BbBr2Q5ldiW,1509717177,닭다리가 섹시하네요~~ㅋㅋㅋㅋ
2017-01,Ba1DTaYltCn,1509329081,고급스럽고 이쁘다~
2017-01,BaIuK64lT3o,1507809423,샾너와내가말랐던그시절
2017-01,BaHGAACF78t,1507732870,오~멋지네요~~~~
2017-01,BZ8S5fCliD6,1507444770,맛있어? 나 소막창은 못먹어봤으
2017-01,BZ6ACxnl5Ez,1507295502,어쩜 얼굴위치 절묘하구만 ㅎㅎ
2017-01,BZ5SRdOl_ng,1507284862,800호점 ~~~ 가셨군요!
2017-01,BZ5SRdOl_ng,1507293361,나도 이번추석 진짜 짱 재미있었어ㅎㅎ
2017-01,BaGVQD-FiqZ,1507712430,오오 멋지세요👏👏👏
2017-01,BaGVQD-FiqZ,1507963199,넘 멋져용!!!!!! 요즘 감기 독하져 저도 한 이주 고생했어요ㅜㅜ 몸 챙겨가며 하셔욜~~😭👍🏻
2017-01,BaGVQD-FiqZ,1508040018,넹 신청해놨어욮ㅋㅋ 그 때 뵈용❤️❤️
2017-01,BZ8SLczltIN,1507375139,:) :) :) Tinyfrockshop.com ☺ ..
2017-01,BZ-GTWaF-44,1507444721,버거킹이 햄버거가 맛있긴혀ㅎㅎ
2017-01,BZihyrPFxxb,1507040182,👍!
2017-01,BZbHyK9Fxn6,1506397780,발목 따뜻하겠다 좋너~
2017-01,BZFrR7-lN-1,1505537021,이것 뽈랄라 백화점에 파는 아이 아닌가요?
2017-01,BZFrR7-lN-1,1505537978,@iwantafriend 저도 고민했던 제품이어서 생각나서요!
2017-01,BY-w2zmlOTY,1505305035,예쁜애들 받으셨네요♡♡ 블로그 댓글도 달아주셔서 감사해요!
2017-01,BZSIQScleB7,1505955345,맛있겠어요~~~
2017-01,BZSIQScleB7,1505970139,맛있어보여
2017-01,BZSNwLFlIRa,1505970454,초록색이 너무 보기 좋다~
2017-01,BY26njVlrnI,1505062039,오오 . 레시피 좋은데요!!!
2017-01,BY74dA5F_Sn,1505226850,아 잣 원형 정말 오랜만에 봐요!!!!!!
2017-01,BY74dA5F_Sn,1505376893,이거 주원이 친구집가서 해봤는데 기술이 필요하두만
2017-01,BYp7zHWFZZH,1504689560,나 저 페페피그 집 있었어. 아기낳기전에 내걸로. 햇살이에게 바로 빼앗김 ㅜㅜ
2017-01,BYe5Q0WF201,1504240253,헉!! 가고싶었는데 ~~~
2017-01,BYe5Q0WF201,1504249067,@iwantafriend 시장규모가 점점 커지네요 문도방 그릇쪽 사진 부탁해도되요?
2017-01,BYe5Q0WF201,1504254180,@iwantafriend 괘않아요
2017-01,BYZun8qFO1i,1504181407,신발도 이쁘다
2017-01,BYlMzz_F4Bf,1504483388,사진  고마윘어요~~~♥♥♥
2017-01,BYmjQmkFBtX,1504505491,목욕후에는 빠나나우유 아니야?
2017-01,BYS1pKvlG0m,1503830889,와.. 오마주 하는김에 딸기빙수도 만들지 그랬어!
2017-01,BYNZkYll8Um,1503654026,맛있게 드세요😋
2017-01,BYXaLDeF-e0,1503984629,피크닉 가고싶은 날이야 🍙
2017-01,BYXaLDeF-e0,1503987184,맞아요! 몇일 없어요😣
2017-01,BXz-qBrFetQ,1502799874,외국브랜드는 아동옷이 신장 160cm까지 나오더라구요!
2017-01,BX8A7ehFY9m,1503191081,최고!!!조으다 꼬리가 짧으면 가고싶다
2017-01,BYCfP0xlA08,1503316526,대박 케이크냐!!! 너무 이쁘다 맛나? 낼 가서 사다먹어야것다
2017-01,BXQTqTXlamL,1501602416,어떤 내용인지 궁금하네용! 저도 무민을 좋아해서 핀란드에 무민월드까지 찾아갔었는데 🤣 일본판 무민보다 원작 무민들이 참 좋아요!💕
2017-01,BXXomQmlIY6,1501844890,이게 무슨일인가요 ㅠㅠ
2017-01,BXXomQmlIY6,1501845622,왜왜??? 어디 많이 아파?
2017-01,BXXomQmlIY6,1501845944,같이 입원한거야?
2017-01,BXXomQmlIY6,1501853208,크게 안다쳐서 다행이야. 휴유증 조심하고!! ㅜㅜ
2017-01,BXXomQmlIY6,1501865415,ㅠㅠ 많이 놀라셨겠어요!
2017-01,BXXomQmlIY6,1501886732,우쨌길래 둘이 같이 다치나. 그것도 버스라니.  조심조심.
2017-01,BXXomQmlIY6,1501860955,@iwantafriend 완전 큰일날뻔했네!!! 자나깨나 조심!
