bin,shortcode,created_at,text
2016-01,BObUnYmjTlj,1482643912,💘
2016-01,BOSZxjJD56S,1482351676,❤❤❤
2016-01,BOnPZlWjOxS,1483052607,음 ...
2016-01,BOnPZlWjOxS,1483055569,저 좀 델꼬 가세요!!! 😎😘🚶🏻🚀👏🏻
2016-01,BOnPZlWjOxS,1483079875,일산안가고 진정성간겨? 한번가보구싶엇는데 맨날 지나만 다녓네
2016-01,BOnPZlWjOxS,1483089874,김포에 곧 ~~~ 딜마가 ㅋㅋㅋ 김포는 무슨일로?
2016-01,BOnPZlWjOxS,1483092963,앗 !!! 그러셨구나 ㅋㅋㅋㅋ
2016-01,BOHwbcdDlGy,1481984159,😍😍😍😍
2016-01,BOJ2fS2DpAQ,1482057405,헉!!! 어디서?
2016-01,BOJ2fS2DpAQ,1482057686,완성하면 아주 뿌듯해지지요~~👍🏻
2016-01,BOJ2fS2DpAQ,1482062130,@iwantafriend 또 뽑고싶어요~ㅋㅋㅋㅋ
2016-01,BOPPzBcjXVy,1482240428,그렇구나 흰바탕이구나!!
2016-01,BNyPeVFDzvf,1481984700,Oh my they are precious!
2016-01,BNxyXBtjg5z,1481278012,스티치 없는 게 더 예쁘네요.🤗💕💕
2016-01,BNX9ZRNhur3,1480384612,She's so cute! ❤
2016-01,BNuBdqvjShc,1481120722,옴마 귀엽네요.특히 셔츠는 완전 실용성👍💕
2016-01,BNuBdqvjShc,1481121084,스티치가 좀 더 작으면 어떨까?
2016-01,BNtt-UYDFff,1481111787,벌써 2017년인가 ㅜㅜ
2016-01,BNOvjyHh_Z2,1480073697,챱챱챱!
2016-01,BNOvjyHh_Z2,1480075209,우왕 +_+ 너무 맛있어보여요!!
2016-01,BNftSy7hSTO,1480655184,매력적인 그분!!! 이쁘당
2016-01,BNX9qa0BdYa,1480416622,@iwantafriend 메뉴탐색?
2016-01,BNovr3JBLim,1480955452,역시모델이좋아야해^^
2016-01,BNovr3JBLim,1480957813,So cute!
2016-01,BNX9jich5yH,1480411437,인형은 안경마저도 잘 어울리는 ㅎㅎ
2016-01,BNX9jich5yH,1480437137,Adorable💗
2016-01,BMJYxusj1x4,1477744099,별말씀을요~~~~
2016-01,BMQW-HKjVTW,1477996214,Yay✨ ✨✨
2016-01,BM0K8VPjE34,1479180158,저도 이제 곧 도착해요요요요요 아 신난다 ㅠㅠ
2016-01,BM0K8VPjE34,1479183644,도착했군요~~~~~~
2016-01,BM0K8VPjE34,1479201552,이쁘다!! 이제 앵두에게 이쁜옷을!! ㅋㅎㅎ
2016-01,BLZzrD2DKEX,1476978610,🙌
2016-01,BLZzxrSDkPx,1476202837,아 그 바이올린이구나... 멋찌다 폼나
2016-01,BLZzxrSDkPx,1476977970,💫
2016-01,BLVy4r0DWKT,1476015518,Awesome Photo! 😍🌴🙌🏼
2016-01,BLisHIkDz50,1476453527,엄청예뻐요!
2016-01,BLisHIkDz50,1476482254,😍😍😘
2016-01,BLisHIkDz50,1476619260,✌🏿🌴
2016-01,BKz_9nHjzRn,1474880183,얘네 어떻게 다 데리고 나갔대 ㅎㅎ
2016-01,BKz_9nHjzRn,1474889361,@iwantafriend 금고를 하나 대여해서 거기에 넣어놔야하나 ㅋ
2016-01,BK0f-jED6oP,1474908629,Beautiful! ❤
2016-01,BKztI3UDU9a,1474876728,가기에는 너무 먼 ~~~
2016-01,BKztI3UDU9a,1474884553,@iwantafriend 글치요!!! 저희집에서는 밀리는 거의 죽음인지라 ㅋㅋㅋ 가는게 모험
2016-01,BKnhqFbjvpb,1474460720,벌써 할로윈 대비하는가! ㅎㅎ
2016-01,BKnhqFbjvpb,1474461665,@iwantafriend 아주 상큼하구만 ㅎㅎ
2016-01,BKnj1lqj8nl,1474461577,이뻐요~~~~♡♡
2016-01,BKuulqgjkf_,1474702566,😍😍😍😍😍
