bin,shortcode,created_at,text
2013-00,bMNzPFC3vD,1372618723,Woo
2013-00,a88mP_C3qV,1372102288,Glad that you like it! My man!
2013-00,a88mP_C3qV,1372135197,Happy birthdayyyyy son gor
2013-00,ajnODri3iQ,1371251667,Hell morning wo!
2013-00,ajnODri3iQ,1371253570,🙅Self Good job
2013-00,ajnODri3iQ,1371280851,Self happy dou ok
2013-00,ajnODri3iQ,1371292076,Diu lei ar
2013-00,aoiE3tC3mG,1371428524,Harrrr
2013-00,aVQzTcC3pm,1370787542,All time classics! 👍
2013-00,aawDXoi3vE,1370953249,😂😂
2013-00,abdJ8nC3lI,1370978826,玩得開心d!
2013-00,abdJ8nC3lI,1371030938,@jeffreylamh
2013-00,bJ44lpi3uL,1372534435,你唔係派錢架咩？
2013-00,bJ44lpi3uL,1372534580,佢計漏左呢隻五萬
2013-00,bJ44lpi3uL,1372534752,哈哈哈哈。幾時派下錢比我
2013-00,a8qM7Gi3s_,1372091297,Happy birthday! Sorry I am late! 🙏
2013-00,a8qM7Gi3s_,1372095060,Happy birthday again my bro @sonmok
2013-00,a8qM7Gi3s_,1372096121,Happy birthday 生哥
2013-00,a8qM7Gi3s_,1372096787,Hapi belated bday 比比
2013-00,a8qM7Gi3s_,1372097723,Happy bday
2013-00,a8qM7Gi3s_,1372122438,🎂Happy Birthday to u 🎉
2013-00,aP7feei3vn,1370589176,Can't hide the past
2013-00,aP7feei3vn,1370596063,Nice. Dee looks so similar to the guy on the bottom.
2013-00,aLYvgDC3i0,1370446868,I didn't see u today wor
2013-00,Z6BbSrC3mZ,1369898837,💪💪💪💪💪💪 @sonmok
2013-00,Zxlp5uC3nz,1369577028,Haha
2013-00,ZflGoEi3l1,1368967445,😘
2013-00,ZflGoEi3l1,1368969423,韓國式拎法👆
2013-00,ZflGoEi3l1,1368969559,下個禮拜你唔會又放飛機呀@karenllam
2013-00,ZflGoEi3l1,1368975909,@sonmok 隨時😂
2013-00,YkeWMOi3nl,1366985735,Hey Ed~
2013-00,YkeWMOi3nl,1366985827,Hey Louis~
2013-00,ZLkFn8C3oB,1368301269,比比幾時同我飲呀？
2013-00,ZLkFn8C3oB,1368311541,比比幾時同我飲呀？
2013-00,YLFnjDC3jQ,1366132447,#letsgetwet
2013-00,YkdHWtC3mP,1367002449,#englishbettereveryday
2013-00,YNk-pri3us,1366215603,@jeffreylamh
2013-00,YNk-pri3us,1366215744,#mutualrespect
2013-00,YNk-pri3us,1366246237,#好contrastwor #callfried雞 #butilike日本
2013-00,YNk-pri3us,1366246302,#my英語bettereveryday
2013-00,YGRtNAi3nc,1365973739,😏
2013-00,XfroNFi3kC,1364712423,"@sonmok harmony doesnt know what to FIT,hahhhahhaa"
2013-00,WuIJBWi3hL,1363017611,"@sonmok thanks bro! You can walk up the mountain , im so impressed!! Thxxxx"
2013-00,WV67XPi3sI,1362204220,軒仔😂
2013-00,WREy-wi3nA,1362037730,😟
2013-00,V3Xajgi3gZ,1361185776,U use pc? No mac?
2013-00,WPj7Vji3i3,1361987214,@kobeyeung
2013-00,WMPeepC3us,1361876734,@sonmok 仲唔拆？
2013-00,WMPeepC3us,1361878904,Sonsonsuksuk富可敵國！
2013-00,WMPeepC3us,1361879800,"識你幾年終於可以堂堂正正咁吊我地,"
2013-00,WMPeepC3us,1361879855,👏👏👏👏👏👏(文化節拍）
2013-00,WMPeepC3us,1361881091,好囉呵！一家團聚啦呵！😭😭
2013-00,WMPeepC3us,1361881482,終於執到個盒啦？
2013-00,WMPeepC3us,1361882830,@sonmok apple有盒買架？😂😂
2013-00,We1uRPC3rx,1362500096,Good luck.
2013-00,We1uRPC3rx,1362501635,我幫你搣😏😏
2013-00,We1uRPC3rx,1362505029,@sonmok 等我🏃💨💨
2013-00,We1uRPC3rx,1362510751,剃哂佢咪得囉
2013-00,We1uRPC3rx,1362557209,等我黎!
2013-00,VJPiDri3mm,1359629727,U reading the novel?
2013-00,VV-qb7i3sX,1360080625,會咩😏😏😏
2013-00,UZPrUIi3nr,1358021703,Wtf ! @sonmok
2013-00,VO2e0FC3rM,1359894540,@sonmok 6歲上PE 堂著
2013-00,UaXArJC3kk,1358072604,Very nice
2013-00,UEUNdaC3iI,1357319537,Tell me
2013-00,UVCUjHi3sV,1357878904,Woooooo!!!! Again
2013-00,UVCUjHi3sV,1357878921,Its suitable for the rich guys!
2013-00,UVCUjHi3sV,1357880758,"Change la, i want a vintage one"
2013-00,UVCUjHi3sV,1357881804,rich pop guy....
2013-00,UVCUjHi3sV,1357885157,Yea!
2013-00,UVCUjHi3sV,1357887037,Rich poor guy
2013-00,UVCUjHi3sV,1357960007,Change lahhhh
2013-00,XXANblALGw,1364384126,呀 孩子都这么大啦
2013-00,ZeEkLxgjYM,1368922895,Diggin the shirt!
2013-00,ZeEkLxgjYM,1368930900,I love it and wish I could still fit in mine!
2013-00,YLRP6egjXG,1366156783,He's so big now!
2013-00,YLRP6egjXG,1366171962,👍 🐶 👈
2013-00,aCcWkaAjQw,1370150080,That was fun!!
2013-00,aj36OjAje9,1371274953,👍
2013-00,ZOI6rGAjXz,1368389957,CONGRATS HAL!!!!🎓🎉
2013-00,ZOI6rGAjXz,1368392745,Thanks @jenna_raeeee !!
2013-00,ZOI6rGAjXz,1368476567,That's good
2013-00,XiDY-Bgjao,1365274011,Nice
2013-00,UZWrutgjUV,1358026369,#imissthatdog!
2013-00,WKef1NAjTP,1361935982,Adorable. I miss Toby!
2013-00,Q3OdKYgjfF,1361813692,i am now convinced our rambo is a llewellin like yours!
2013-00,Yg9OJCGp1F,1366867484,@ayumiko (=ω)ﾉ !!!
2013-00,Yg9OJCGp1F,1366885021,@chiyomom 😳香港？
2013-00,YF3Z7amp8J,1365958430,I hope his leg get better soon. Lots of love from Japan 💕
2013-00,Ww0s1jGp_C,1364302038,♥
2013-00,Ww0s1jGp_C,1365283174,Your dog is so amazingly gorgeous!! Do you show him?
2013-00,URBiJYmp80,1360359519,Soo cute
2013-00,UbO1hJGp7S,1358198956,Dang
2013-00,UbO1hJGp7S,1360369549,WOW!!!
2013-00,Rl6PMjmp_z,1361655461,Scary cool
2013-00,U7Vm3YGp0s,1359161531,So cute
2013-00,U7Vm3YGp0s,1359204806,Cute
2013-00,U7Vm3YGp0s,1360702340,Follow me
2013-00,P8HlthGp0v,1358667448,H
2013-00,NtpPqPmpyW,1358605607,Lol
2013-00,PQWjr4Gp5B,1358667460,Ah
2013-00,PQWjr4Gp5B,1358689830,super stoer !!!!!
2013-00,PQWjr4Gp5B,1358690075,Hoe kan dat ?????
2013-00,PQWjr4Gp5B,1358690077,Xxxxxxxx
2013-00,J2bE0yGpwr,1358217629,Awwwwwwwwwwwwwwwwww
2013-00,I9tNoCGp5e,1358217591,Awww....❕❕❕❕❕❕❕
2013-00,Hs4womGp6f,1359204764,What the
2013-00,Hy-ZsUGp58,1358792991,Ur welcome!
2013-00,HWtYr7Gpxs,1357778290,Ahhhhh so much blood😢😢
2013-00,HWtYr7Gpxs,1358605703,Wht u do
2013-00,HWtYr7Gpxs,1358806390,Welcome :)
2013-00,I-Gx6,1358217742,Hahahahahahahahahahahahaha!!!!!!!!!!!!!!!!!!!!¡¡¡¡!!!!!!!!!!!!!!!!!!!!
2013-00,D0WuP,1360024561,Cute
2013-00,D0Wnk,1360024596,Pretty
2013-00,Ca1yH,1358605778,Wht u do
2013-00,lD-K,1358217812,😍💘😳😘
2013-00,bHr9ogvCzj,1372461061,❤❤❤
2013-00,bHr9ogvCzj,1372462359,Mmm dim sims
2013-00,bHr9ogvCzj,1372540748,Cool cats
2013-00,aRwLyNvC6C,1370655996,Oh! Love tatong! My dad's old stomping ground! Hope u stopped for a bevy at the tatong tavern! (About all there is to do there!)
2013-00,aRwLyNvC6C,1370666289,Beautiful girl ❤ xxxx
2013-00,ZfDsNwvCzp,1368955078,@tavcarre it's been... Super long! Would you like to go on a nice walk/run together sometime? :)
2013-00,ZfDsNwvCzp,1368957374,This Saturday I'll be able to do the afternoon? I'm going to check if I still had your number lol
2013-00,ZfDsNwvCzp,1368965686,Oooh! I usually work around the particular time. I'll MSG you! @tavcarre I found your number. Just to make sure does it end with 559 still?
2013-00,Z_3mABvC4l,1370050401,There's a st kinda farmers market on up here too! Love it!
2013-00,ZLNYLVvC7v,1368316119,Look at you two stunners @danis3 @tavcarre ❤
2013-00,ZMJCJTvC5h,1368316026,You are so beautiful... Happy mothers day o❤ Peppy. Xxxx @tavcarre
2013-00,ZMJCJTvC5h,1368318972,💜💜💜💜 gorgeous xx
2013-00,YXMJpGvC9m,1366538532,Lol. Peppy looks huge @tavcarre
2013-00,YXMJpGvC9m,1366538772,Aww bestfriends!! 😍 @tavcarre
2013-00,YXMJpGvC9m,1366539598,Gross
2013-00,YXMJpGvC9m,1366540104,Good to see the kittens are looking after peps!
2013-00,YXMJpGvC9m,1366544509,Aww that's so nice :) @tavcarre
2013-00,YOpygZvC0R,1366254807,❤❤❤❤❤
2013-00,YOpygZvC0R,1366261555,Haha you hve a lot of cats! So cute :) xx
2013-00,XYGtKoPC1n,1364421566,Such a little poser! 😊
2013-00,W5QPCUPC5f,1363388839,RahhhBABES @tavcarre @__brooklyn
2013-00,WoJ7nevC61,1362814946,Aww💙😻
2013-00,Ws_wF7PC0s,1362974584,That is a happy face
2013-00,Ws_wF7PC0s,1362974859,Len Dog ❤
2013-00,Ws_wF7PC0s,1362975312,What a cutie!
2013-00,Ws_wF7PC0s,1362978433,Lenny Lenny Len dog ❤🐶
2013-00,XV-LYyPC_q,1364463524,What a beautiful family @tavcarre ❤❤❤
2013-00,XzKTkXvC1L,1365328890,bem legal
2013-00,XzKTkXvC1L,1365329523,So cute!!
2013-00,XzKTkXvC1L,1365330217,Besties!! Xx
2013-00,XzKTkXvC1L,1365331599,😻😻
2013-00,VspFxTvCwE,1360816539,How is he going with the kittens?
2013-00,VspFxTvCwE,1360845355,😻💙
2013-00,VrzwWtvC-k,1360792252,Where is this?
2013-00,VrzwWtvC-k,1360797851,Cute!
2013-00,VxA3q-vC8V,1360965343,the cutest
2013-00,VxA3q-vC8V,1360967053,💗
2013-00,V2NYMQvCw2,1361137805,So cute! 😍
2013-00,WoJH8dPC6B,1362812469,💕💕💕💕💕💕💕💜 Luckiest girl! You are amazing @tavcarre xxxxx
2013-00,WoJH8dPC6B,1362813384,Looks so cool
2013-00,VkUY0nvC9F,1360540154,Cheeky Mil Mil 💕💜 xx
2013-00,Vi6TcGvC0v,1360491553,Delish did you make them?
2013-00,Vi6TcGvC0v,1360492648,Your so clever!! @tavcarre
2013-00,Vi6TcGvC0v,1360493942,Skills they look like amazing :) @tavcarre
2013-00,Vi6TcGvC0v,1360496045,Wow u have really upped the game since poached eggs. Perfection! 🍰
2013-00,VBl2rgvCzh,1359373701,2 cakes? #luckyyou
2013-00,U-bwfUPCwb,1359271227,❤
2013-00,VBVBLuPC8M,1359362271,❤❤❤❤❤❤❤
2013-00,VBVBLuPC8M,1359362280,Love love love love love love
2013-00,VBVBLuPC8M,1359363930,cute!!!! 😘 X
2013-00,VBVBLuPC8M,1359364122,cute!!!! 😘 X
2013-00,VBVBLuPC8M,1359369076,Aww gorgeous 💗😻😻
2013-00,VL2wY8PC35,1359717473,Wish we got wizz fizz photo
2013-00,VL2wY8PC35,1359718012,Look at those cherub cheeks!!! So cute!! 👼💙
2013-00,VL2wY8PC35,1359786568,Awwww how cute. Did anyone get a wizz fizz photo???
