bin,shortcode,created_at,text
2012-00,MV-eQvi3s5,1340733873,So 機！
2012-00,MLC8Ooi3oO,1340364413,上網checkin
2012-00,MLC8Ooi3oO,1340394064,黑仔人son
2012-00,MOgwx1C3qs,1340532880,🎂🎂🎂
2012-00,L8OZNoi3kM,1339867920,正野
2012-00,L8OZNoi3kM,1339868540,我都有睇。。
2012-00,L8OZNoi3kM,1339898223,老翻就唔好post啦
2012-00,L5VbrrC3h5,1339809757,係閒裡偷忙至真！
2012-00,LzTHivi3kl,1339564958,What happened?
2012-00,LzTHivi3kl,1339568647,Are you alright? Take care sonsonsuksuk
2012-00,LzTHivi3kl,1339569984,@sonmok 型！
2012-00,LzTHivi3kl,1339570762,好番未?
2012-00,LzTHivi3kl,1339584423,成日傷
2012-00,LzTHivi3kl,1339589135,又搏同情！！！
2012-00,LihWiCC3kd,1339023718,Jang r
2012-00,LihWiCC3kd,1339059762,小肥牛都係*好好食!!!
2012-00,LUbuvoi3pY,1338533717,乜嘢國家嘅語言？
2012-00,LUbuvoi3pY,1338555207,"Even east tunnel, chi q sin"
2012-00,LBDCusC3iV,1337917319,邊度嚟
2012-00,K8HwsvC3h-,1337736604,So 現代☺
2012-00,K2qQNZi3uM,1337533860,😭
2012-00,KVRuqyC3oa,1336461885,神位
2012-00,KphoHrC3nE,1337089605,踏完啦？
2012-00,Kc7zxci3kK,1336666508,Hipot?
2012-00,KSk79NC3qA,1336319767,O...又少一個
2012-00,KSk79NC3qA,1336324507,一國兩制 you know ?
2012-00,JiV7KBi3tA,1334712311,做到天光-_-
2012-00,J7mkeEi3nk,1335547480,HULK: I AM ALWAYS ANGRY... Ho lun jang
2012-00,JexwYkC3rZ,1334585359,咁耐唔約我食飯
2012-00,JRURdOC3m3,1334130727,酸酸甜甜 啱哂d小朋友食~
2012-00,JRURdOC3m3,1334133002,@chanbrotha 😂👍
2012-00,IevFZIC3rO,1332431812,Dislike this👎
2012-00,IeuJD1C3q4,1332473054,龜房
2012-00,Ho0gPGC3uI,1332186875,I love this place too :)
2012-00,IRT7SOC3kO,1331980923,Where is it
2012-00,IW_r9pC3tZ,1332178460,Poor you😢
2012-00,HfxlwEi3kt,1330319612,Jo meh ar ?
2012-00,nyRLS,1328358449,我就真係🐶違嗱🇰🇷🇰🇷
2012-00,lzAOT,1327831940,蕃滿門？🍅
2012-00,lzAOT,1327834807,When did u have it? I was there from 3 to 4pm😳
2012-00,e4kPS,1325887796,咩事？
2012-00,kMRG7,1327417808,I was at central side* wonderful firework!!!
2012-00,gjwpI,1326432762,😱
2012-00,gjwpI,1326433662,Thanks sonsonsuksuk 👍
2012-00,LXsOx8gLOZ,1338640113,接受高价预订不。
2012-00,LXsOx8gLOZ,1338652559,@ruizidejia 喜欢，手工的都喜欢😊
2012-00,L_kagHALD-,1340002029,Best wishes!
2012-00,KuaWusALDw,1337262847,惬意
2012-00,KuZ7KxgLDs,1337254832,当妈妈啦？
2012-00,KgecAuALKM,1336784847,太可爱
2012-00,KgecAuALKM,1336791635,真可爱！！！
2012-00,KgecAuALKM,1336804743,Cute!
2012-00,KZGOjDALLJ,1336780835,小噔有没有啊他姨
2012-00,KZGOjDALLJ,1336784797,欢呼！
2012-00,dNSxL,1328627199,最近没有新作啊
2012-00,IJsXYfALL5,1331728051,So pretty~ how r u dear?
2012-00,IJsXYfALL5,1331753164,I'm ok! Busy busy with work >.< look forward to seeing more of it beautiful photos ^^*
2012-00,Htb5R8gLC0,1330779211,你好 好久不见
2012-00,JUVtv,1328451024,不错'不过我不会发表情
