bin,shortcode,created_at,text
2019-01,BztGLn-p0GC,1562697785,나도 아직 안잔당~😂
2019-01,B0WFclpJB0-,1564115332,👏 방학이군요!!!!👍
2019-01,Bz0KPCRJSEx,1562931557,오늘같은날은 사람들이 무지 주문을 할것같아서 왠지 못하겠더라구용~~😅
2019-01,BzwvcfHpRmH,1562816236,까눌레~~~~♡
2019-01,Bzr7zqtplT4,1562660941,미래의 인형방....인가요?ㅎㅎㅎ
2019-01,Bzr7zqtplT4,1562842141,@mushmush_roomroom 🤣🤣🤣
2019-01,BztGLn-p0GC,1562697785,나도 아직 안잔당~😂
2019-01,BzwvcfHpRmH,1562816236,까눌레~~~~♡
2019-01,B0WFclpJB0-,1564115332,👏 방학이군요!!!!👍
2019-01,Bz0KPCRJSEx,1562931557,오늘같은날은 사람들이 무지 주문을 할것같아서 왠지 못하겠더라구용~~😅
2019-01,BztGLn-p0GC,1562697785,나도 아직 안잔당~😂
2019-01,B0WFclpJB0-,1564115332,👏 방학이군요!!!!👍
2019-01,Bz0KPCRJSEx,1562931557,오늘같은날은 사람들이 무지 주문을 할것같아서 왠지 못하겠더라구용~~😅
2019-01,BzwvcfHpRmH,1562816236,까눌레~~~~♡
2019-01,Bzi6yG-HmXH,1562378407,Awesome shot!
2019-01,BzZKHkzjJfA,1562026246,Reminds me of Wheel of Fortune
2019-01,Bt16XmYnSCt,1563941338,Love it!!!
2019-01,BlrlIVmAs9M,1563411759,@keithgu9499 and I had so so much fun meeting you last night!✨
2019-01,BzWepcFB-Jr,1561955341,She does not look like she is old enough to have had you. What a beauty! Both of you 😊
2019-01,BzWepcFB-Jr,1561957135,I wish I knew her. If she’s your mom I know she’s cool!
2019-01,BzWepcFB-Jr,1561963158,🧡
2019-01,BzWepcFB-Jr,1562358702,Sweet 💘
2019-01,BzWepcFB-Jr,1561962672,@kakashi23 - love you too!❤️
2019-01,B0WDRD5HYGQ,1564071244,💖🐾
2019-01,B0WDRD5HYGQ,1564080030,❤️😘😍❤️😘😍
2019-01,B0WDRD5HYGQ,1564095848,What a sweet face!!😘
2019-01,B0WDRD5HYGQ,1564127938,🐾💕🐾💕
2019-01,B0DUzhuH2Cl,1563453446,😍😍😍😍😍
2019-01,B0DUzhuH2Cl,1563480561,😍😍😍🐾👏👏
2019-01,B0DUzhuH2Cl,1563533361,"Thanks, Kissboy! You inspire me to keep having fun, no matter what."
2019-01,B0GjGlVnIug,1563548008,😍😍
2019-01,B0GjGlVnIug,1563855367,So cute! ❤️ Pug hugs and snuggles 🙂❤️
2019-01,Bz3e1DOH9RI,1563043443,😍😍😍😍😍
2019-01,BznWsDTnYmN,1562502179,Gorgeous 😘😘😘
2019-01,BznWsDTnYmN,1562505544,Hi hi hi hi!😍😍😍😘❤️
2019-01,BznWsDTnYmN,1562541875,😍😍😍😍😍
2019-01,B0GjGlVnIug,1563548008,😍😍
2019-01,B0GjGlVnIug,1563855367,So cute! ❤️ Pug hugs and snuggles 🙂❤️
2019-01,B0WDRD5HYGQ,1564071244,💖🐾
2019-01,B0WDRD5HYGQ,1564080030,❤️😘😍❤️😘😍
2019-01,B0WDRD5HYGQ,1564095848,What a sweet face!!😘
2019-01,B0WDRD5HYGQ,1564127938,🐾💕🐾💕
2019-01,BznWsDTnYmN,1562502179,Gorgeous 😘😘😘
2019-01,BznWsDTnYmN,1562505544,Hi hi hi hi!😍😍😍😘❤️
2019-01,BznWsDTnYmN,1562541875,😍😍😍😍😍
2019-01,B0DUzhuH2Cl,1563453446,😍😍😍😍😍
2019-01,B0DUzhuH2Cl,1563480561,😍😍😍🐾👏👏
2019-01,B0DUzhuH2Cl,1563533361,"Thanks, Kissboy! You inspire me to keep having fun, no matter what."
2019-01,Bz3e1DOH9RI,1563043443,😍😍😍😍😍
2019-01,BzmuxI7heAl,1562481108,Still looks good for 95
2019-01,BzmuxI7heAl,1562495314,Happy Birthday to your Grandma 😍
2019-01,BzgxlWIgRZs,1562283633,💗
2019-01,BzgxlWIgRZs,1562339451,Great pic!
2019-01,BzgxlWIgRZs,1562377673,Such a great photo!
2019-01,B0EysOnAEPF,1563492625,"Oh my goodness Julie, this is an amazing photo! Nice work @birdoverwaves!!! So very happy for you! Xo"
2019-01,B0EysOnAEPF,1563493038,💘🌟💘🌟💘
2019-01,B0EysOnAEPF,1563493373,Congrats!!!!
2019-01,B0EysOnAEPF,1563493939,Congrats! So exciting! ❤️
