bin,shortcode,created_at,text
2017-00,BVo__0LFxk_,1498132769,엇 ㅡ환상의 맛이죠 ㅋㅋ 전 민트쵸코칩 사랑해요 ㅋ
2017-00,BVh5JffFxeQ,1497916699,만보랑 차차 . 혹시 그 단발머리 꿀벌옷 아이들맞나요~~~
2017-00,BVh5JffFxeQ,1497961033,저도 관심이 가긴갔는데 의상호환이 가장큰걱정이였는데 요즘 보니 블라랑 호환이 되나보드라구요!!사진 많이 보여주세요!!! 저도 언젠가 댈꾸오고싶어용 ㅋㅋ
2017-00,BVXDEDOFlx3,1497529682,징글징글하게 좋아했는데 우리 ㅋㅋ
2017-00,BVXDEDOFlx3,1497532725,비스켓하고 콘셀러드 세상 맛있었어 ㅋㅋ
2017-00,BVPZZQvlPXd,1497353052,허헉!!!! 대각선으로 빠지다니!! 무섭네요ㅠㅠ
2017-00,BVlMVTcFQmR,1498005565,귀엽네요~~~😍
2017-00,BVlMVTcFQmR,1498015617,thanks honey～nice photo😘
2017-00,BVlMVTcFQmR,1498022762,나도 올껀디~ㅋ 구엽지?
2017-00,BVlMVTcFQmR,1498052417,근데 애들이 겁먹은겨? 왜 수근거리는 느낌이지? ㅋㅋ
2017-00,BVlMVTcFQmR,1498132790,허거겅 .... 넘 귀여워요 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
2017-00,BU4AvTWl55M,1496545032,멋있다!!!
2017-00,BU4AvTWl55M,1496549695,멋있으세요!!
2017-00,BU4AiwrlmiF,1496490080,우아 근데 이아이 넘 뻐요♡드레스도 완전 취향저격!!눈호강했어요♡  프리프 국산인형이라 애정해줘야하는데 한체도없네여 ㅠ
2017-00,BVPLkChlFEQ,1497315691,케이크도 엄!청 맛있어보여
2017-00,BUyyeVeluyT,1496319667,느낌 강하게 있네요.^^
2017-00,BUyyeVeluyT,1496330619,앜 . 내용이 궁금해요!!!
2017-00,BUyyeVeluyT,1496417062,앗 .. 태양열로 움직이는 강아지라니 .. 궁금하네용 ㅋㅋ 아들이 초1이라 좋으할것같은데 검색해봐야겠어요 ㅋㅋ
2017-00,BUuMBX6ltCC,1496296393,어머 귀한 인형들이 가득이군요~ㅠㅠ 여기가 어딘지 정보 알수있을까요??😍
2017-00,BUuMBX6ltCC,1496299467,@iwantafriend 감사해요~한번 방문해봐야겠네요~😍
2017-00,BUNsTXClNuX,1495111417,이거 하연이 작품이야?? 대박! 완전 초능력자
2017-00,BUhVqwzlsDF,1495727571,크흡 . 축하드려요!!! 선영님이 되서 기뻐요♡
2017-00,BUhVqwzlsDF,1495731693,축하드려요.이런 행운이😉😙🍀
2017-00,BULRpR2l5JY,1495001357,So nice!
2017-00,BULRpR2l5JY,1495021423,앞..발에 웃었어요 ㅋㅋ 카페이벤트 당첨되셨던데 축하드려요!!!!
2017-00,BULIf7hlDlS,1495018937,💕💕💕
2017-00,BTs8JTHlwGC,1493969926,정말 이 퀄 말로 표현 못한다 ㅎㅎ
2017-00,BTs8JTHlwGC,1493976826,덕분에 어제 좋은 구경하고 좋은 지름 했습니당ㅎㅅㅎ 저는 루루코가 없지만 ㅜ 루루코가 입을 모습 생각하며 만들었는데 잘어울려서 넘나 기뻐요! 미디가 입으면 아마 좀 길고 웃길거예요😂
2017-00,BTs8JTHlwGC,1493991380,@iwantafriend 앗 아니예요ㅋㅋㅋ xs바디를 쓰는 헤드가 있어요😆
2017-00,BTnj1XzlBMb,1493788865,Thank you :)
2017-00,BTnj1XzlBMb,1493960614,이쁜걸 잘 찾아내는 매의 눈!
